tiempo_s,vd,v,theta,alpha,omegal,omegar,ul,ur,sl,sr
8.500,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
8.600,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
8.700,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
8.800,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,113,82
8.900,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,113,83
9.000,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,113,82
9.100,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,113,83
9.200,0.0000,0.0000,0.05391,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
9.300,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,113,82
9.400,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,82
9.500,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,82
9.600,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
9.700,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,112,80
9.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,112,80
9.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.200,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
10.300,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
10.400,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.500,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
10.600,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
10.700,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
10.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
11.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
11.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,80
11.200,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
11.300,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
11.400,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,112,80
11.500,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
11.600,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
11.700,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,81
11.800,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
11.900,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
12.000,0.0000,0.0000,0.05391,-0.09883,0.0000,0.0000,0.0000,0.0000,112,82
12.100,0.0000,0.0000,0.05391,-0.09883,0.0000,0.0000,0.0000,0.0000,112,83
12.200,0.0000,0.0000,0.05391,-0.08784,0.0000,0.0000,0.0000,0.0000,113,84
12.300,0.0000,0.0000,0.05391,-0.08784,0.0000,0.0000,0.0000,0.0000,113,84
12.400,0.0000,0.0000,0.05157,-0.07686,0.0000,0.0000,0.0000,0.0000,114,85
12.500,0.0000,0.0000,0.04923,-0.07686,0.0000,0.0000,0.0000,0.0000,113,86
12.600,0.0000,0.0000,0.04688,-0.06588,0.0000,0.0000,0.0000,0.0000,113,87
12.700,0.0000,0.0000,0.04688,-0.05490,0.0000,0.0000,0.0000,0.0000,114,89
12.800,0.0000,0.0000,0.04454,-0.05490,0.0000,0.0000,0.0000,0.0000,114,90
12.900,0.0000,0.0000,0.04454,-0.04392,0.0000,0.0000,0.0000,0.0000,115,91
13.000,0.0000,0.0000,0.04219,-0.03294,0.0000,0.0000,0.0000,0.0000,115,93
13.100,0.0000,0.0000,0.03985,-0.03294,0.0000,0.0000,0.0000,0.0000,116,94
13.200,0.0000,0.0000,0.03985,-0.02196,0.0000,0.0000,0.0000,0.0000,116,95
13.300,0.0000,0.0000,0.03516,-0.01098,0.0000,0.0000,0.0000,0.0000,117,97
13.400,0.0000,0.0000,0.03516,-0.01098,0.0000,0.0000,0.0000,0.0000,118,99
13.500,0.0000,0.0000,0.03282,0.00000,0.0000,0.0000,0.0000,0.0000,118,101
13.600,0.0000,0.0000,0.03047,0.01098,0.0000,0.0000,0.0000,0.0000,120,102
13.700,0.0000,0.0000,0.03047,0.01098,0.0000,0.0000,0.0000,0.0000,120,103
13.800,0.0000,0.0000,0.02813,0.02196,0.0000,0.0000,0.0000,0.0000,121,105
13.900,0.0000,0.0000,0.02579,0.03294,0.0000,0.0000,0.0000,0.0000,122,107
14.000,0.0000,0.0000,0.02344,0.03294,0.0000,0.0000,0.0000,0.0000,123,109
14.100,0.0000,0.0000,0.02344,0.04392,0.0000,0.0000,0.0000,0.0000,122,110
14.200,0.0000,0.0000,0.02110,0.05490,0.0000,0.0000,0.0000,0.0000,124,112
14.300,0.0000,0.0063,0.01875,0.05490,0.3460,0.0000,0.0000,0.0000,123,112
14.400,0.0000,0.0000,0.02110,0.06588,0.0000,0.0000,0.0000,0.0000,126,114
14.500,0.0000,0.0000,0.02110,0.06588,0.0000,0.0000,0.0000,0.0000,126,114
14.600,0.0000,0.0000,0.02110,0.06588,0.0000,0.0000,0.0000,0.0000,128,117
14.700,0.0000,0.0000,0.01875,0.07686,0.0000,0.0000,0.0000,0.0000,129,118
14.800,0.0000,0.0000,0.02110,0.07686,0.0000,0.0000,0.0000,0.0000,131,119
14.900,0.0000,0.0000,0.02110,0.07686,0.0000,0.0000,0.0000,0.0000,131,120
15.000,0.0000,0.0000,0.02110,0.08784,0.0000,0.0000,0.0000,0.0000,132,121
15.100,0.0000,0.0000,0.02110,0.08784,0.0000,0.0000,0.0000,0.0000,134,122
15.200,0.0000,0.0000,0.02110,0.08784,0.0000,0.0000,0.0000,0.0000,135,123
15.300,0.0000,0.0000,0.02110,0.09883,0.0000,0.0000,0.0000,0.0000,135,123
15.400,0.0000,0.0000,0.02110,0.09883,0.0000,0.0000,0.0000,0.0000,137,125
15.500,0.0000,0.0000,0.02110,0.10981,0.0000,0.0000,0.0000,0.0000,138,126
15.600,0.0000,0.0000,0.02110,0.10981,0.0000,0.0000,0.0000,0.0000,139,128
15.700,0.0000,0.0000,0.02110,0.10981,0.0000,0.0000,0.0000,0.0000,140,128
15.800,0.0000,0.0000,0.01875,0.12079,0.0000,0.0000,0.0000,0.0000,141,130
15.900,0.0000,0.0000,0.01875,0.12079,0.0000,0.0000,0.0000,0.0000,142,131
16.000,0.0000,0.0000,0.02110,0.12079,0.0000,0.0000,0.0000,0.0000,144,132
16.100,0.0000,0.0000,0.02110,0.13177,0.0000,0.0000,0.0000,0.0000,145,133
16.200,0.0000,0.0000,0.02110,0.13177,0.0000,0.0000,0.0000,0.0000,146,134
16.300,0.0000,0.0000,0.02110,0.14275,0.0000,0.0000,0.0000,0.0000,147,136
16.400,0.0000,0.0000,0.01875,0.14275,0.0000,0.0000,0.0000,0.0000,148,137
16.500,0.0000,0.0000,0.01875,0.15373,0.0000,0.0000,0.0000,0.0000,149,138
16.600,0.0000,0.0000,0.01875,0.15373,0.0000,0.0000,0.0000,0.0000,150,139
16.700,0.0000,0.0000,0.01875,0.16471,0.0000,0.0000,0.0000,0.0000,152,141
16.800,0.0000,0.0000,0.01875,0.17569,0.0000,0.0000,0.0000,0.0000,153,142
16.900,0.0000,0.0000,0.01875,0.17569,0.0000,0.0000,0.0000,0.0000,154,144
17.000,0.0000,0.0000,0.01875,0.18667,0.0000,0.0000,0.0000,0.0000,156,145
17.100,0.0000,0.0000,0.01875,0.18667,0.0000,0.0000,0.0000,0.0000,157,146
17.200,0.0000,0.0000,0.01875,0.19765,0.0000,0.0000,0.0000,0.0000,158,147
17.300,0.0000,0.0000,0.01875,0.19765,0.0000,0.0000,0.0000,0.0000,159,148
17.400,0.0000,0.0000,0.01875,0.19765,0.0000,0.0000,0.0000,0.0000,160,149
17.500,0.0000,0.0000,0.02110,0.20863,0.0000,0.0000,0.0000,0.0000,162,150
17.600,0.0000,0.0000,0.01875,0.20863,0.0000,0.0000,0.0000,0.0000,162,151
17.700,0.0000,0.0000,0.01875,0.20863,0.0000,0.0000,0.0000,0.0000,163,152
17.800,0.0000,0.0000,0.02110,0.21961,0.0000,0.0000,0.0000,0.0000,164,153
17.900,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,165,154
18.000,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,166,154
18.100,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,166,155
18.200,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,166,155
18.300,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,167,156
18.400,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,167,156
18.500,0.0000,0.0000,0.01875,0.21961,0.0000,0.0000,0.0000,0.0000,168,157
18.600,0.0000,0.0000,0.01875,0.20863,0.0000,0.0000,0.0000,0.0000,168,157
18.700,0.0000,0.0000,0.01875,0.20863,0.0000,0.0000,0.0000,0.0000,165,154
18.800,0.0000,0.0000,0.01875,0.20863,0.0000,0.0000,0.0000,0.0000,168,158
18.900,0.0000,0.0000,0.01875,0.19765,0.0000,0.0000,0.0000,0.0000,168,158
19.000,0.0000,0.0000,0.01875,0.19765,0.0000,0.0000,0.0000,0.0000,169,158
19.100,0.0000,0.0000,0.01875,0.18667,0.0000,0.0000,0.0000,0.0000,169,158
19.200,0.0000,0.0000,0.01875,0.18667,0.0000,0.0000,0.0000,0.0000,168,158
19.300,0.0000,0.0000,0.01875,0.17569,0.0000,0.0000,0.0000,0.0000,168,158
19.400,0.0000,0.0000,0.01875,0.16471,0.0000,0.0000,0.0000,0.0000,168,158
19.500,0.0000,0.0000,0.01875,0.16471,0.0000,0.0000,0.0000,0.0000,168,158
19.600,0.0000,0.0000,0.01875,0.15373,0.0000,0.0000,0.0000,0.0000,168,158
19.700,0.0000,0.0000,0.01875,0.14275,0.0000,0.0000,0.0000,0.0000,169,158
19.800,0.0000,0.0000,0.01641,0.13177,0.0000,0.0000,0.0000,0.0000,168,158
19.900,0.0000,0.0000,0.01641,0.12079,0.0000,0.0000,0.0000,0.0000,167,157
20.000,0.0000,0.0000,0.01641,0.10981,0.0000,0.0000,0.0000,0.0000,166,157
20.100,0.0000,0.0000,0.01641,0.09883,0.0000,0.0000,0.0000,0.0000,167,157
20.200,0.0000,0.0000,0.01641,0.08784,0.0000,0.0000,0.0000,0.0000,166,156
20.300,0.0000,0.0000,0.01641,0.07686,0.0000,0.0000,0.0000,0.0000,166,156
20.400,0.0000,0.0000,0.01641,0.05490,0.0000,0.0000,0.0000,0.0000,165,155
20.500,0.0000,0.0000,0.01641,0.04392,0.0000,0.0000,0.0000,0.0000,164,155
20.600,0.0000,0.0000,0.01641,0.03294,0.0000,0.0000,0.0000,0.0000,163,153
20.700,0.0000,0.0000,0.01641,0.01098,0.0000,0.0000,0.0000,0.0000,162,152
20.800,0.0000,0.0000,0.01641,-0.01098,0.0000,0.0000,0.0000,0.0000,160,151
20.900,0.0000,0.0000,0.01641,-0.02196,0.0000,0.0000,0.0000,0.0000,159,150
21.000,0.0000,0.0000,0.01641,-0.04392,0.0000,0.0000,0.0000,0.0000,157,148
21.100,0.0000,0.0000,0.01641,-0.06588,0.0000,0.0000,0.0000,0.0000,156,147
21.200,0.0000,0.0000,0.01641,-0.08784,0.0000,0.0000,0.0000,0.0000,154,144
21.300,0.0000,0.0000,0.01641,-0.10981,0.0000,0.0000,0.0000,0.0000,151,142
21.400,0.0000,0.0000,0.01641,-0.12079,0.0000,0.0000,0.0000,0.0000,150,140
21.500,0.0000,0.0000,0.01641,-0.14275,0.0000,0.0000,0.0000,0.0000,147,137
21.600,0.0000,0.0000,0.01641,-0.16471,0.0000,0.0000,0.0000,0.0000,144,135
21.700,0.0000,0.0000,0.01641,-0.18667,0.0000,0.0000,0.0000,0.0000,141,132
21.800,0.0000,0.0000,0.01641,-0.20863,0.0000,0.0000,0.0000,0.0000,139,129
21.900,0.0000,0.0000,0.01641,-0.23059,0.0000,0.0000,0.0000,0.0000,136,127
22.000,0.0000,0.0000,0.01641,-0.24157,0.0000,0.0000,0.0000,0.0000,131,121
22.100,0.0000,0.0000,0.01641,-0.28549,0.0000,0.0000,0.0000,0.0000,125,116
22.200,0.0000,0.0000,0.01875,-0.29648,0.0000,0.0000,0.0000,0.0000,122,112
22.300,0.0000,0.0000,0.02110,-0.31844,0.0000,0.0000,0.0000,0.0000,124,112
22.400,0.0000,0.0000,0.02110,-0.32942,0.0000,0.0000,0.0000,0.0000,123,111
22.500,0.0000,0.0000,0.02344,-0.34040,0.0000,0.0000,0.0000,0.0000,120,107
22.600,0.0000,0.0000,0.02579,-0.36236,0.0000,0.0000,0.0000,0.0000,119,105
22.700,0.0000,0.0000,0.02813,-0.37334,0.0000,0.0000,0.0000,0.0000,118,103
22.800,0.0000,0.0000,0.03282,-0.38432,0.0000,0.0000,0.0000,0.0000,118,100
22.900,0.0000,0.0000,0.03282,-0.39530,0.0000,0.0000,0.0000,0.0000,117,98
23.000,0.0000,0.0000,0.03751,-0.40628,0.0000,0.0000,0.0000,0.0000,116,95
23.100,0.0000,0.0000,0.03985,-0.41726,0.0000,0.0000,0.0000,0.0000,115,93
23.200,0.0000,0.0000,0.04219,-0.41726,0.0000,0.0000,0.0000,0.0000,115,91
23.300,0.0000,0.0000,0.04454,-0.42824,0.0000,0.0000,0.0000,0.0000,114,90
23.400,0.0000,0.0000,0.04688,-0.42824,0.0000,0.0000,0.0000,0.0000,114,88
23.500,0.0000,0.0000,0.04923,-0.43922,0.0000,0.0000,0.0000,0.0000,113,87
23.600,0.0000,0.0000,0.04923,-0.43922,0.0000,0.0000,0.0000,0.0000,112,85
23.700,0.0000,0.0000,0.05157,-0.43922,0.0000,0.0000,0.0000,0.0000,113,84
23.800,0.0000,0.0000,0.05157,-0.43922,0.0000,0.0000,0.0000,0.0000,112,83
23.900,0.0000,0.0000,0.05391,-0.45020,0.0000,0.0000,0.0000,0.0000,112,83
24.000,0.0000,0.0000,0.05391,-0.45020,0.0000,0.0000,0.0000,0.0000,111,82
24.100,0.0000,0.0000,0.05391,-0.43922,0.0000,0.0000,0.0000,0.0000,111,82
24.200,0.0000,0.0000,0.05391,-0.43922,0.0000,0.0000,0.0000,0.0000,111,81
24.300,0.0000,0.0000,0.05626,-0.43922,0.0000,0.0000,0.0000,0.0000,111,81
24.400,0.0000,0.0000,0.05391,-0.43922,0.0000,0.0000,0.0000,0.0000,111,82
24.500,0.0000,0.0000,0.05391,-0.43922,0.0000,0.0000,0.0000,0.0000,111,82
24.600,0.0000,0.0000,0.05391,-0.42824,0.0000,0.0000,0.0000,0.0000,112,82
24.700,0.0000,0.0000,0.05391,-0.42824,0.0000,0.0000,0.0000,0.0000,112,82
24.800,0.0000,0.0000,0.05157,-0.42824,0.0000,0.0000,0.0000,0.0000,111,83
24.900,0.0000,0.0000,0.05157,-0.41726,0.0000,0.0000,0.0000,0.0000,112,83
25.000,0.0000,0.0000,0.05157,-0.41726,0.0000,0.0000,0.0000,0.0000,112,83
25.100,0.0000,0.0000,0.05157,-0.41726,0.0000,0.0000,0.0000,0.0000,112,84
25.200,0.0000,0.0000,0.05157,-0.40628,0.0000,0.0000,0.0000,0.0000,112,84
25.300,0.0000,0.0000,0.05157,-0.40628,0.0000,0.0000,0.0000,0.0000,112,84
25.400,0.0000,0.0000,0.04923,-0.40628,0.0000,0.0000,0.0000,0.0000,112,85
25.500,0.0000,0.0000,0.04923,-0.40628,0.0000,0.0000,0.0000,0.0000,112,85
25.600,0.0000,0.0000,0.04923,-0.40628,0.0000,0.0000,0.0000,0.0000,112,85
25.700,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
25.800,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
25.900,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.000,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.100,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,113,86
26.200,0.0000,0.0000,0.04688,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.300,0.0000,0.0000,0.04688,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.400,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.500,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.600,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.700,0.0000,0.0000,0.04923,-0.39530,0.0000,0.0000,0.0000,0.0000,112,86
26.800,0.0000,0.0000,0.04923,-0.38432,0.0000,0.0000,0.0000,0.0000,112,86
26.900,0.0000,0.0000,0.04923,-0.38432,0.0000,0.0000,0.0000,0.0000,112,85
27.000,0.0000,0.0000,0.04923,-0.38432,0.0000,0.0000,0.0000,0.0000,112,85
27.100,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,86
27.200,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.300,0.0000,0.0000,0.04923,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.400,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.500,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.600,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.700,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.800,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
27.900,0.0000,0.0000,0.05157,-0.38432,0.0000,0.0000,0.0000,0.0000,113,85
28.000,0.0000,0.0000,0.04923,-0.37334,0.0000,0.0000,0.0000,0.0000,112,85
28.100,0.0000,0.0000,0.04923,-0.37334,0.0000,0.0000,0.0000,0.0000,113,85
28.200,0.0000,0.0000,0.05157,-0.37334,0.0000,0.0000,0.0000,0.0000,113,85
28.300,0.0000,0.0000,0.05157,-0.37334,0.0000,0.0000,0.0000,0.0000,113,85
28.400,0.0000,0.0000,0.05157,-0.37334,0.0000,0.0000,0.0000,0.0000,113,85
