tiempo_s,vd,v,theta,alpha,omegal,omegar,ul,ur,sl,sr
0.000,0.0000,0.0000,0.06798,-0.13177,0.0000,0.0000,0.0000,0.0000,114,77
0.100,0.0000,0.0000,0.06095,-0.13177,0.0000,0.0000,0.0000,0.0000,109,76
0.200,0.0000,0.0000,0.06095,-0.13177,0.0000,0.0000,0.0000,0.0000,109,75
0.300,0.0000,0.0000,0.05391,-0.10981,0.0000,0.0000,0.0000,0.0000,109,80
0.400,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
0.500,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
0.600,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,81
0.700,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,81
0.800,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
0.900,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,81
1.000,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
1.100,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
1.200,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
1.300,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
1.400,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
1.500,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
1.600,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
1.700,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
1.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
1.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
2.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
2.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
2.200,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
2.300,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,112,80
2.400,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
2.500,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
2.600,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
2.700,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
2.800,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
2.900,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.000,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.100,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.200,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.300,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.400,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.500,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.600,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
3.700,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
3.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
3.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
4.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
4.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
4.200,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
4.300,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,79
4.400,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
4.500,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
4.600,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
4.700,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
4.800,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
4.900,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
5.000,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
5.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.200,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.300,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.400,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.500,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.600,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.700,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
5.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
6.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
6.100,0.0000,0.0000,0.06095,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
6.200,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
6.300,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,78
6.400,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,79
6.500,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
6.600,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,110,78
6.700,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
6.800,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
6.900,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
7.000,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
7.100,0.0000,0.0000,0.05860,-0.12079,0.0000,0.0000,0.0000,0.0000,111,79
7.200,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
7.300,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,79
7.400,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
7.500,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
7.600,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
7.700,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
7.800,0.0000,0.0000,0.05860,-0.10981,0.0000,0.0000,0.0000,0.0000,112,80
7.900,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
8.000,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,80
8.100,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,111,81
8.200,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
8.300,0.0000,0.0000,0.05626,-0.10981,0.0000,0.0000,0.0000,0.0000,112,81
8.400,0.0000,0.0000,0.05626,-0.09883,0.0000,0.0000,0.0000,0.0000,112,81
