# Balancin telemetria  2026-05-26 01:39:43
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl	Sr	modo_sol
0.010	+0.000000	+0.100392	-0.056259	+0.186670	+2.883506	+2.883506	-10.016556	-10.016556	190	219	0
0.020	+0.000000	+0.090980	-0.053915	+0.120786	+2.652826	+2.652826	-10.016556	-10.016556	192	220	0
0.030	+0.000000	-0.040784	-0.056259	+0.164708	-1.268743	-1.268743	+9.933775	+9.933775	192	221	0
0.040	+0.000000	-0.036078	-0.053915	+1.240804	-0.922722	-1.268743	+9.933775	+9.933775	193	221	0
0.050	+0.000000	+0.095686	-0.053915	+0.647853	+2.883506	+2.652826	-10.016556	-10.016556	193	221	0
0.060	+0.000000	+0.080000	-0.053915	+0.263534	+2.306805	+2.306805	-10.016556	-10.016556	193	221	0
0.070	+0.000000	-0.051765	-0.053915	+1.394532	-1.845444	-1.268743	+9.933775	+9.933775	193	221	0
0.080	+0.000000	-0.056471	-0.053915	+0.647853	-1.845444	-1.499423	-10.016556	-10.016556	192	220	0
0.090	+0.000000	-0.010980	-0.053915	-0.318436	-0.346021	-0.346021	-10.016556	-10.016556	192	220	0
0.100	+0.000000	-0.092549	-0.051571	-0.812562	-2.768166	-2.768166	-10.016556	-10.016556	193	220	0
0.110	+0.000000	-0.147451	-0.058603	-0.010981	-4.498270	-4.267589	+9.933775	+9.933775	188	219	0
0.120	+0.000000	-0.122353	-0.058603	+0.505106	-3.575548	-3.575548	+9.933775	+9.933775	190	220	0
0.130	+0.000000	+0.018824	-0.049226	+0.000000	+0.576701	+0.576701	-10.016556	-10.016556	196	223	0
0.140	+0.000000	+0.004706	-0.049226	-1.065115	+0.230681	+0.000000	-10.016556	-10.016556	197	223	0
0.150	+0.000000	-0.092549	-0.049226	+0.669814	-2.768166	-2.768166	+9.933775	+9.933775	196	222	0
0.160	+0.000000	-0.081569	-0.051571	-0.570989	-2.422145	-2.422145	-10.016556	-10.016556	197	223	0
0.170	+0.000000	-0.031373	-0.046882	+0.560009	-0.922722	-0.922722	+9.933775	+9.933775	197	222	0
0.180	+0.000000	-0.040784	-0.046882	+0.900406	-1.268743	-1.268743	+9.933775	+9.933775	197	222	0
0.190	+0.000000	+0.075294	-0.051571	+0.263534	+2.076125	+2.306805	-10.016556	-10.016556	196	222	0
0.200	+0.000000	+0.050196	-0.053915	-1.361590	+1.384083	+1.384083	-10.016556	-10.016556	195	223	0
0.210	+0.000000	-0.086275	-0.046882	-0.691776	-2.768166	-2.422145	+9.933775	+9.933775	197	221	0
0.220	+0.000000	+0.000000	-0.046882	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	198	222	0
0.230	+0.000000	+0.009412	-0.046882	+0.450203	+0.230681	+0.230681	+9.933775	+9.933775	197	221	0
0.240	+0.000000	+0.054902	-0.049226	-0.087845	+1.730104	+1.384083	-10.016556	-10.016556	196	222	0
0.250	+0.000000	+0.050196	-0.049226	+0.175689	+1.384083	+1.384083	+9.933775	+9.933775	196	222	0
0.260	+0.000000	+0.000000	-0.046882	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	198	222	0
0.270	+0.000000	+0.059608	-0.046882	+0.494125	+1.730104	+1.730104	+9.933775	+9.933775	198	223	0
0.280	+0.000000	+0.084706	-0.051571	-0.021961	+2.306805	+2.652826	-10.016556	-10.016556	197	224	0
0.290	+0.000000	+0.084706	-0.053915	+0.043922	+2.306805	+2.652826	+9.933775	+9.933775	196	224	0
0.300	+0.000000	+0.034510	-0.056259	+0.395300	+0.807382	+1.153403	+9.933775	+9.933775	192	222	0
0.310	+0.000000	+0.125490	-0.063291	+0.450203	+3.460208	+3.806228	+9.933775	+9.933775	186	220	0
0.320	+0.000000	+0.181961	-0.060947	+1.383551	+5.651672	+4.959631	+9.933775	+9.933775	187	219	0
0.330	+0.000000	-0.194510	-0.053915	+0.428242	+5.882353	+6.228374	-10.016556	-10.016556	193	221	0
0.340	+0.000000	+0.166275	-0.065635	-0.219611	+4.959631	+4.728950	-10.016556	-10.016556	184	219	0
0.350	+0.000000	+0.029804	-0.063291	-0.208631	+1.153403	+0.576701	+2.731788	+2.731788	183	215	0
0.360	+0.000000	+0.000000	-0.065635	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	180	214	0
0.370	+0.000000	+0.004706	-0.063291	-0.373339	+0.230681	+0.000000	-10.016556	-10.016556	179	213	0
0.380	+0.000000	-0.031373	-0.063291	+0.450203	-0.692042	-1.268743	+9.933775	+9.933775	181	214	0
0.390	+0.000000	-0.036078	-0.063291	+0.549028	-0.922722	-1.268743	+9.933775	+9.933775	183	216	0
0.400	+0.000000	+0.090980	-0.065635	-0.032942	+2.883506	+2.306805	-10.016556	-10.016556	184	218	0
0.410	+0.000000	+0.000000	-0.065635	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	183	218	0
0.420	+0.000000	-0.031373	-0.060947	+0.000000	-0.922722	-0.922722	+2.649007	+2.649007	181	214	0
0.430	+0.000000	-0.015686	-0.063291	+1.196882	-0.692042	-0.346021	+9.933775	+9.933775	179	212	0
0.440	+0.000000	+0.039216	-0.063291	+0.483145	+1.153403	+1.153403	-10.016556	-10.016556	179	212	0
0.450	+0.000000	+0.045490	-0.063291	-0.329417	+1.153403	+1.384083	-10.016556	-10.016556	180	212	0
0.460	+0.000000	-0.072157	-0.063291	-0.263534	-2.191465	-2.191465	+9.933775	+9.933775	181	214	0
0.470	+0.000000	-0.072157	-0.060947	+0.724717	-2.191465	-2.191465	+9.933775	+9.933775	181	214	0
0.480	+0.000000	+0.045490	-0.060947	+0.164708	+1.384083	+1.153403	-10.016556	-10.016556	183	215	0
0.490	+0.000000	+0.054902	-0.063291	+0.010981	+1.730104	+1.384083	-10.016556	-10.016556	183	216	0
0.500	+0.000000	-0.072157	-0.060947	+0.845503	-2.191465	-2.191465	+9.933775	+9.933775	183	216	0
0.510	+0.000000	-0.076863	-0.063291	+0.043922	-2.422145	-2.191465	-10.016556	-10.016556	183	216	0
0.520	+0.000000	-0.026667	-0.063291	-0.153728	-0.922722	-0.692042	-10.016556	-10.016556	183	217	0
0.530	+0.000000	-0.106667	-0.065635	-0.274514	-3.344867	-2.998847	-10.016556	-10.016556	184	218	0
0.540	+0.000000	-0.156863	-0.058603	+0.329417	-4.844291	-4.498270	+9.933775	+9.933775	183	214	0
0.550	+0.000000	-0.117647	-0.051571	+0.329417	-3.575548	-3.344867	-0.993377	-0.993377	190	216	0
0.560	+0.000000	-0.047059	-0.053915	-0.065883	-1.499423	-1.268743	-10.016556	-10.016556	187	215	0
0.570	+0.000000	-0.097255	-0.060947	+0.724717	-2.998847	-2.768166	+9.933775	+9.933775	183	214	0
0.580	+0.000000	-0.081569	-0.060947	-0.208631	-2.768166	-2.191465	-10.016556	-10.016556	184	215	0
0.590	+0.000000	-0.047059	-0.056259	-0.252553	-1.268743	-1.499423	-10.016556	-10.016556	187	217	0
