# Balancin telemetria  2026-05-26 01:39:43
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl	Sr	modo_sol
0.600	+0.000000	-0.131765	-0.053915	+0.395300	-3.921569	-3.921569	+9.933775	+9.933775	190	217	0
0.610	+0.000000	-0.111373	-0.049226	-0.318436	-3.575548	-2.998847	-10.016556	-10.016556	192	218	0
0.620	+0.000000	-0.061176	-0.046882	+0.131767	-2.191465	-1.499423	+9.933775	+9.933775	193	218	0
0.630	+0.000000	-0.056471	-0.044538	+0.472164	-2.191465	-1.268743	+9.933775	+9.933775	193	216	0
0.640	+0.000000	+0.064314	-0.051571	+0.746678	+1.730104	+2.076125	+9.933775	+9.933775	190	217	0
0.650	+0.000000	+0.116078	-0.049226	+0.120786	+3.229527	+3.460208	-10.016556	-10.016556	190	217	0
0.660	+0.000000	+0.075294	-0.051571	+0.054903	+1.730104	+2.652826	-10.016556	-10.016556	192	219	0
0.670	+0.000000	-0.040784	-0.056259	+0.076864	-1.499423	-0.922722	+7.367550	+7.367550	188	217	0
0.680	+0.000000	-0.051765	-0.060947	-0.900406	-1.499423	-1.499423	-10.016556	-10.016556	185	217	0
0.690	+0.000000	-0.036078	-0.058603	-0.713737	-0.922722	-1.268743	+9.933775	+9.933775	187	217	0
0.700	+0.000000	-0.040784	-0.051571	+0.625892	-1.268743	-1.268743	+9.933775	+9.933775	192	219	0
0.710	+0.000000	+0.070588	-0.049226	+0.307456	+2.076125	+2.076125	-10.016556	-10.016556	194	219	0
0.720	+0.000000	+0.000000	-0.049226	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	194	219	0
0.730	+0.000000	-0.031373	-0.051571	-0.538048	-0.922722	-0.922722	-10.016556	-10.016556	193	220	0
0.740	+0.000000	-0.061176	-0.051571	+0.669814	-1.845444	-1.845444	+9.933775	+9.933775	191	219	0
0.750	+0.000000	-0.040784	-0.051571	+0.768640	-1.268743	-1.268743	+9.933775	+9.933775	192	219	0
0.760	+0.000000	+0.084706	-0.049226	-0.010981	+2.652826	+2.306805	-10.016556	-10.016556	194	220	0
0.770	+0.000000	+0.000000	-0.049226	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	194	220	0
0.780	+0.000000	-0.031373	-0.049226	+0.329417	-0.922722	-0.922722	+9.933775	+9.933775	193	219	0
0.790	+0.000000	+0.004706	-0.053915	+1.185901	+0.000000	+0.230681	+9.933775	+9.933775	191	218	0
0.800	+0.000000	+0.100392	-0.056259	+0.098825	+2.883506	+2.883506	-10.016556	-10.016556	188	218	0
0.810	+0.000000	+0.100392	-0.060947	+0.263534	+2.883506	+2.883506	+9.933775	+9.933775	185	217	0
0.820	+0.000000	+0.045490	-0.060947	+0.318436	+1.384083	+1.153403	+9.933775	+9.933775	184	216	0
0.830	+0.000000	+0.125490	-0.058603	+0.790601	+3.806228	+3.460208	+9.933775	+9.933775	185	216	0
0.840	+0.000000	+0.170980	-0.053915	-0.757659	+5.305652	+4.728950	-10.016556	-10.016556	190	218	0
0.850	+0.000000	+0.120784	-0.049226	+0.263534	+3.460208	+3.460208	+9.933775	+9.933775	189	215	0
0.860	+0.000000	+0.084706	-0.063291	+0.614912	+2.306805	+2.652826	+9.933775	+9.933775	183	217	0
0.870	+0.000000	+0.161569	-0.060947	-0.516087	+4.728950	+4.728950	-10.016556	-10.016556	183	214	0
0.880	+0.000000	+0.141176	-0.060947	-0.483145	+4.152249	+4.152249	+9.933775	+9.933775	180	212	0
0.890	+0.000000	+0.095686	-0.063291	+0.647853	+2.883506	+2.652826	+9.933775	+9.933775	181	214	0
0.900	+0.000000	+0.161569	-0.058603	+0.131767	+4.728950	+4.728950	-10.016556	-10.016556	186	216	0
0.910	+0.000000	+0.141176	-0.051571	+0.395300	+4.152249	+4.152249	+9.933775	+9.933775	190	216	0
0.920	+0.000000	+0.080000	-0.046882	-0.010981	+2.652826	+2.076125	-10.016556	-10.016556	189	213	0
0.930	+0.000000	+0.080000	-0.042194	-0.109806	+2.652826	+2.076125	-10.016556	-10.016556	187	210	0
0.940	+0.000000	-0.056471	-0.037506	+0.175689	-1.499423	-1.845444	+9.933775	+9.933775	190	209	0
0.950	+0.000000	-0.015686	-0.035162	-0.219611	-0.346021	-0.692042	-10.016556	-10.016556	191	209	0
0.960	+0.000000	+0.014118	-0.037506	-1.021192	+0.576701	+0.230681	-10.016556	-10.016556	189	209	0
0.970	+0.000000	-0.076863	-0.042194	+0.307456	-2.191465	-2.422145	+9.933775	+9.933775	188	210	0
0.980	+0.000000	-0.081569	-0.042194	+0.691776	-2.191465	-2.768166	+9.933775	+9.933775	190	212	0
0.990	+0.000000	+0.050196	-0.044538	-0.461184	+1.730104	+1.153403	-10.016556	-10.016556	191	214	0
1.000	+0.000000	+0.039216	-0.044538	+0.592950	+1.153403	+1.153403	+9.933775	+9.933775	193	216	0
1.010	+0.000000	-0.006275	-0.042194	+0.516087	+0.000000	-0.346021	-10.016556	-10.016556	192	214	0
1.020	+0.000000	+0.034510	-0.042194	+0.241572	+1.153403	+0.807382	-10.016556	-10.016556	192	213	0
1.030	+0.000000	-0.076863	-0.037506	+0.109806	-2.191465	-2.422145	-10.016556	-10.016556	192	211	0
1.040	+0.000000	-0.131765	-0.039850	+0.856484	-4.267589	-3.575548	+9.933775	+9.933775	192	213	0
1.050	+0.000000	-0.092549	-0.042194	+0.263534	-2.768166	-2.768166	-10.016556	-10.016556	193	215	0
1.060	+0.000000	-0.047059	-0.051571	-0.329417	-1.499423	-1.268743	-10.016556	-10.016556	184	211	0
1.070	+0.000000	+0.000000	-0.053915	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	184	212	0
1.080	+0.000000	-0.172549	-0.053915	-0.186670	-5.420992	-4.844291	-10.016556	-10.016556	185	214	0
1.090	+0.000000	-0.183529	-0.053915	-0.856484	-5.767013	-5.074971	-10.016556	-10.016556	186	214	0
1.100	+0.000000	+0.194510	-0.046882	+0.373339	-6.574394	-5.767013	+9.933775	+9.933775	187	212	0
1.110	+0.000000	-0.156863	-0.044538	-0.065883	-4.844291	-4.498270	-10.016556	-10.016556	191	214	0
1.120	+0.000000	-0.117647	-0.053915	+0.076864	-3.575548	-3.344867	+9.933775	+9.933775	183	211	0
1.130	+0.000000	-0.111373	-0.046882	+0.889426	-3.575548	-2.998847	+9.933775	+9.933775	188	213	0
1.140	+0.000000	+0.004706	-0.044538	+0.461184	+0.000000	+0.230681	-10.016556	-10.016556	190	213	0
1.150	+0.000000	+0.009412	-0.049226	-0.790601	+0.576701	+0.000000	-10.016556	-10.016556	188	213	0
1.160	+0.000000	-0.101961	-0.053915	-0.735698	-2.998847	-2.998847	+9.933775	+9.933775	184	212	0
1.170	+0.000000	+0.000000	-0.053915	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	184	212	0
1.180	+0.000000	+0.009412	-0.049226	+0.296475	+0.000000	+0.576701	+9.933775	+9.933775	188	213	0
1.190	+0.000000	+0.045490	-0.044538	+0.285495	+1.153403	+1.384083	-1.821192	-1.821192	190	213	0
1.200	+0.000000	+0.070588	-0.046882	-0.801581	+2.306805	+1.730104	-10.016556	-10.016556	189	213	0
1.210	+0.000000	+0.000000	-0.053915	+1.185901	+0.000000	+0.000000	+9.933775	+9.933775	185	213	0
1.220	+0.000000	-0.015686	-0.056259	+0.461184	-0.922722	+0.000000	-10.016556	-10.016556	182	212	0
1.230	+0.000000	+0.009412	-0.053915	+0.516087	+0.000000	+0.576701	+9.933775	+9.933775	183	211	0
1.240	+0.000000	+0.004706	-0.056259	+0.021961	+0.000000	+0.230681	-10.016556	-10.016556	182	212	0
1.250	+0.000000	+0.009412	-0.053915	-0.197650	+0.230681	+0.230681	-10.016556	-10.016556	184	212	0
1.260	+0.000000	-0.097255	-0.049226	+0.538048	-2.998847	-2.768166	+9.933775	+9.933775	187	213	0
1.270	+0.000000	-0.086275	-0.046882	+0.417261	-2.422145	-2.768166	-10.016556	-10.016556	189	213	0
1.280	+0.000000	-0.040784	-0.044538	-0.296475	-1.268743	-1.268743	-10.016556	-10.016556	190	213	0
1.290	+0.000000	-0.138039	-0.042194	+0.010981	-4.267589	-3.921569	+9.933775	+9.933775	190	212	0
1.300	+0.000000	-0.097255	-0.039850	+0.647853	-2.998847	-2.768166	+9.933775	+9.933775	189	210	0
1.310	+0.000000	+0.029804	-0.053915	-0.834523	+1.153403	+0.576701	-10.016556	-10.016556	184	212	0
1.320	+0.000000	+0.000000	-0.067979	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	179	214	0
1.330	+0.000000	-0.061176	-0.067979	+0.219611	-1.845444	-1.845444	+9.933775	+9.933775	178	214	0
1.340	+0.000000	-0.010980	-0.067979	+1.295707	+0.000000	-0.692042	+9.933775	+9.933775	179	215	0
1.350	+0.000000	+0.100392	-0.067979	+0.889426	+3.229527	+2.652826	-10.016556	-10.016556	179	215	0
1.360	+0.000000	+0.059608	-0.060947	+0.000000	+1.730104	+1.730104	-10.016556	-10.016556	181	213	0
1.370	+0.000000	+0.000000	-0.046882	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	186	210	0
1.380	+0.000000	-0.081569	-0.044538	-1.087076	-2.768166	-2.191465	-10.016556	-10.016556	186	210	0
1.390	+0.000000	-0.092549	-0.053915	+0.285495	-2.768166	-2.768166	+9.933775	+9.933775	183	211	0
1.400	+0.000000	-0.081569	-0.067979	+0.219611	-2.422145	-2.422145	-10.016556	-10.016556	178	214	0
1.410	+0.000000	-0.036078	-0.067979	+0.000000	-0.922722	-1.268743	-10.016556	-10.016556	181	216	0
1.420	+0.000000	-0.131765	-0.053915	-0.131767	-3.921569	-3.921569	-10.016556	-10.016556	185	214	0
1.430	+0.000000	+0.200784	-0.053915	-0.054903	-5.997693	-5.997693	+9.933775	+9.933775	186	214	0
1.440	+0.000000	-0.163137	-0.056259	+0.252553	-4.844291	-4.844291	+9.933775	+9.933775	188	218	0
1.450	+0.000000	-0.026667	-0.058603	-0.175689	-0.922722	-0.692042	-10.016556	-10.016556	189	220	0
1.460	+0.000000	+0.000000	-0.065635	-1.394532	+0.000000	+0.000000	+0.000000	+0.000000	184	219	0
1.470	+0.000000	-0.076863	-0.067979	-0.285495	-2.422145	-2.191465	-10.016556	-10.016556	183	218	0
1.480	+0.000000	-0.101961	-0.065635	+0.581970	-2.998847	-2.998847	+9.933775	+9.933775	182	216	0
1.490	+0.000000	-0.097255	-0.063291	+0.087845	-2.998847	-2.768166	-10.016556	-10.016556	184	217	0
1.500	+0.000000	-0.047059	-0.060947	+0.120786	-1.268743	-1.499423	+9.933775	+9.933775	189	220	0
1.510	+0.000000	-0.047059	-0.060947	+0.120786	-1.499423	-1.268743	-0.082781	-0.082781	194	226	0
1.520	+0.000000	+0.014118	-0.067979	-0.735698	+0.230681	+0.576701	-10.016556	-10.016556	194	230	0
1.530	+0.000000	-0.051765	-0.067979	+0.000000	-1.499423	-1.499423	+9.933775	+9.933775	194	230	0
1.540	+0.000000	-0.051765	-0.072668	+0.373339	-1.845444	-1.268743	+9.933775	+9.933775	193	231	0
1.550	+0.000000	+0.059608	-0.072668	+0.241572	+1.384083	+2.076125	-10.016556	-10.016556	194	232	0
1.560	+0.000000	+0.054902	-0.070323	-0.538048	+1.730104	+1.384083	-10.016556	-10.016556	195	232	0
1.570	+0.000000	-0.081569	-0.065635	+1.130998	-2.191465	-2.768166	+9.933775	+9.933775	196	231	0
1.580	+0.000000	-0.065882	-0.063291	+0.175689	-2.191465	-1.845444	-10.016556	-10.016556	197	231	0
1.590	+0.000000	-0.026667	-0.067979	+0.164708	-0.692042	-0.922722	-3.062914	-3.062914	198	234	0
1.600	+0.000000	-0.086275	-0.075012	+0.307456	-2.422145	-2.768166	+9.933775	+9.933775	198	237	0
1.610	+0.000000	-0.036078	-0.075012	+0.483145	-0.922722	-1.268743	+9.933775	+9.933775	198	238	0
1.620	+0.000000	+0.054902	-0.072668	+1.273745	+2.076125	+1.153403	+9.933775	+9.933775	200	238	0
1.630	+0.000000	+0.100392	-0.075012	+0.790601	+3.229527	+2.652826	-10.016556	-10.016556	202	241	0
1.640	+0.000000	+0.070588	-0.077356	-0.494125	+2.306805	+1.730104	-10.016556	-10.016556	206	246	0
1.650	+0.000000	-0.051765	-0.065635	-0.318436	-1.499423	-1.499423	+9.933775	+9.933775	210	245	0
1.660	+0.000000	+0.000000	-0.065635	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	211	246	0
1.670	+0.000000	+0.029804	-0.065635	-0.252553	+0.807382	+0.807382	-10.016556	-10.016556	215	249	0
1.680	+0.000000	-0.020392	-0.063291	+0.560009	-0.346021	-0.922722	+9.933775	+9.933775	219	252	0
1.690	+0.000000	-0.031373	-0.060947	+0.636873	-0.346021	-1.499423	+9.933775	+9.933775	222	254	0
1.700	+0.000000	+0.054902	-0.058603	-0.439223	+2.076125	+1.153403	-10.016556	-10.016556	224	255	0
1.710	+0.000000	+0.034510	-0.053915	-0.724717	+1.384083	+0.576701	-10.016556	-10.016556	227	255	0
1.720	+0.000000	-0.081569	-0.049226	+0.274514	-2.191465	-2.768166	+9.933775	+9.933775	229	255	0
1.730	+0.000000	-0.072157	-0.044538	+0.867465	-2.191465	-2.191465	+9.933775	+9.933775	231	255	0
1.740	+0.000000	+0.070588	-0.039850	-0.230592	+2.076125	+2.076125	-10.016556	-10.016556	234	255	0
1.750	+0.000000	+0.050196	-0.037506	+1.218843	+1.730104	+1.153403	+9.933775	+9.933775	236	255	0
1.760	+0.000000	+0.009412	-0.032818	+1.273745	+0.230681	+0.230681	+9.933775	+9.933775	237	255	0
1.770	+0.000000	+0.080000	-0.028129	+0.801581	+2.306805	+2.306805	-10.016556	-10.016556	240	255	0
1.780	+0.000000	+0.050196	-0.028129	+0.922367	+1.153403	+1.730104	+9.933775	+9.933775	240	255	0
1.790	+0.000000	+0.018824	-0.028129	+0.417261	+0.230681	+0.807382	-10.016556	-10.016556	240	255	0
1.800	+0.000000	+0.029804	-0.025785	+0.900406	+0.807382	+0.807382	+9.933775	+9.933775	241	255	0
1.810	+0.000000	+0.000000	-0.025785	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	242	255	0
1.820	+0.000000	+0.054902	-0.025785	+0.900406	+1.730104	+1.384083	+9.933775	+9.933775	242	255	0
1.830	+0.000000	+0.000000	-0.023441	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	243	255	0
1.840	+0.000000	+0.075294	-0.023441	+0.889426	+2.306805	+2.076125	+9.933775	+9.933775	242	255	0
1.850	+0.000000	+0.090980	-0.023441	+0.768640	+2.652826	+2.652826	-10.016556	-10.016556	243	255	0
1.860	+0.000000	+0.070588	-0.023441	+0.592950	+1.730104	+2.306805	-10.016556	-10.016556	242	255	0
1.870	+0.000000	-0.065882	-0.023441	+0.658834	-2.191465	-1.845444	+9.933775	+9.933775	243	255	0
1.880	+0.000000	+0.000000	-0.023441	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	243	255	0
1.890	+0.000000	+0.000000	-0.023441	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	243	255	0
1.900	+0.000000	+0.029804	-0.023441	+0.856484	+1.153403	+0.576701	+9.933775	+9.933775	243	255	0
1.910	+0.000000	+0.034510	-0.016409	+0.307456	+1.153403	+0.807382	-10.016556	-10.016556	246	255	0
1.920	+0.000000	+0.000000	-0.021097	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	244	255	0
1.930	+0.000000	-0.051765	-0.018753	+1.328648	-1.268743	-1.845444	+9.933775	+9.933775	246	255	0
1.940	+0.000000	-0.006275	-0.021097	+0.702756	+0.230681	-0.692042	-10.016556	-10.016556	244	255	0
1.950	+0.000000	+0.025098	-0.021097	+1.185901	+1.153403	+0.230681	+9.933775	+9.933775	244	255	0
1.960	+0.000000	-0.010980	-0.021097	+0.944329	+0.000000	-0.692042	-10.016556	-10.016556	244	255	0
1.970	+0.000000	+0.000000	-0.021097	-0.010981	+0.000000	+0.000000	-10.016556	-10.016556	244	255	0
1.980	+0.000000	-0.111373	-0.021097	+0.351378	-3.575548	-2.998847	+9.933775	+9.933775	244	255	0
1.990	+0.000000	-0.092549	-0.021097	+1.032173	-2.998847	-2.422145	+9.933775	+9.933775	244	255	0
2.000	+0.000000	+0.034510	-0.018753	+1.043154	+1.153403	+0.807382	+4.221854	+4.139073	245	255	0
2.010	+0.000000	+0.000000	-0.018753	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	245	255	0
2.020	+0.000000	+0.000000	-0.018753	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	245	255	0
2.030	+0.000000	+0.000000	-0.018753	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	245	255	0
2.040	+0.000000	+0.004706	-0.018753	+0.845503	+0.000000	+0.230681	+9.933775	+9.933775	245	255	0
2.050	+0.000000	+0.045490	-0.018753	+1.174920	+1.153403	+1.384083	+9.933775	+9.933775	245	255	0
2.060	+0.000000	+0.000000	-0.018753	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	245	255	0
2.070	+0.000000	+0.000000	-0.021097	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	244	255	0
2.080	+0.000000	+0.090980	-0.021097	+1.076095	+2.652826	+2.652826	+9.933775	+9.933775	244	255	0
2.090	+0.000000	+0.116078	-0.023441	+0.856484	+3.229527	+3.460208	-10.016556	-10.016556	243	255	0
2.100	+0.000000	+0.100392	-0.023441	+0.669814	+2.883506	+2.883506	-10.016556	-10.016556	242	255	0
2.110	+0.000000	-0.036078	-0.023441	+0.834523	-0.922722	-1.268743	+9.933775	+9.933775	242	255	0
2.120	+0.000000	-0.036078	-0.023441	+1.306687	-0.922722	-1.268743	+9.933775	+9.933775	243	255	0
2.130	+0.000000	+0.084706	-0.023441	-0.087845	+2.652826	+2.306805	-10.016556	-10.016556	243	255	0
2.140	+0.000000	+0.084706	-0.025785	+0.636873	+2.652826	+2.306805	+9.933775	+9.933775	242	255	0
2.150	+0.000000	+0.014118	-0.023441	+0.614912	+0.230681	+0.576701	-7.036424	-6.953642	242	255	0
2.160	+0.000000	+0.029804	-0.023441	+0.702756	+0.576701	+1.153403	+9.933775	+9.933775	242	255	0
2.170	+0.000000	+0.034510	-0.025785	+0.505106	+0.807382	+1.153403	-10.016556	-10.016556	242	255	0
2.180	+0.000000	+0.045490	-0.025785	+0.801581	+1.384083	+1.153403	+9.933775	+9.933775	241	255	0
2.190	+0.000000	+0.014118	-0.025785	+0.922367	+0.576701	+0.230681	+9.933775	+9.933775	242	255	0
2.200	+0.000000	+0.000000	-0.025785	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	241	255	0
2.210	+0.000000	+0.100392	-0.025785	+1.372571	+3.229527	+2.652826	+9.933775	+9.933775	242	255	0
2.220	+0.000000	+0.109804	-0.025785	+0.757659	+3.460208	+2.883506	-10.016556	-10.016556	241	255	0
2.230	+0.000000	+0.095686	-0.028129	+0.691776	+3.229527	+2.306805	-10.016556	-10.016556	240	255	0
2.240	+0.000000	-0.036078	-0.030474	+0.801581	-0.922722	-1.268743	+9.933775	+9.933775	239	255	0
2.250	+0.000000	-0.047059	-0.032818	+0.549028	-0.922722	-1.845444	-10.016556	-10.016556	238	255	0
2.260	+0.000000	+0.000000	-0.030474	+1.163940	+0.230681	-0.346021	+9.933775	+9.933775	239	255	0
2.270	+0.000000	+0.000000	-0.028129	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	240	255	0
2.280	+0.000000	+0.029804	-0.028129	+0.999231	+1.153403	+0.576701	+9.933775	+9.933775	241	255	0
2.290	+0.000000	+0.000000	-0.025785	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	241	255	0
2.300	+0.000000	+0.045490	-0.028129	+1.328648	+1.384083	+1.153403	+9.933775	+9.933775	240	255	0
2.310	+0.000000	+0.059608	-0.028129	+0.966290	+1.730104	+1.730104	-10.016556	-10.016556	240	255	0
2.320	+0.000000	+0.059608	-0.030474	+0.900406	+2.076125	+1.384083	-10.016556	-10.016556	239	255	0
2.330	+0.000000	-0.072157	-0.032818	+0.724717	-2.191465	-2.191465	-10.016556	-10.016556	238	255	0
2.340	+0.000000	-0.142745	-0.032818	+0.219611	-4.267589	-4.267589	-10.016556	-10.016556	237	255	0
2.350	+0.000000	+0.000000	-0.032818	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	238	255	0
2.360	+0.000000	+0.000000	-0.028129	+1.394532	+0.000000	+0.000000	+0.000000	+0.000000	240	255	0
