# Balancin telemetria  2026-05-26 10:08:40
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl_adc12	Sr_adc12	modo_sol
0.010	+0.000000	+0.431022	+0.159959	+0.900672	+11.930061	+12.699742	+11.000000	+11.000000	1850	480	0
0.020	+0.000000	+0.437756	+0.155172	+1.100781	+12.699742	+12.314901	+11.000000	+11.000000	1874	545	0
0.030	+0.000000	+0.457960	+0.145247	+0.924181	+13.084583	+13.084583	+11.000000	+11.000000	1889	645	0
0.040	+0.000000	+0.464695	+0.142095	+0.991065	+13.084583	+13.469423	+11.000000	+11.000000	1895	678	0
0.050	+0.000000	+0.478165	+0.137658	+0.933285	+13.854263	+13.469423	+11.000000	+11.000000	1913	734	0
0.060	+0.000000	+0.491634	+0.132521	+0.989293	+14.239105	+13.854263	+11.000000	+11.000000	1932	797	0
0.070	+0.000000	+0.484899	+0.134155	+0.735017	+14.239105	+13.469423	+11.000000	+11.000000	1962	813	0
0.080	+0.000000	+0.498369	+0.127033	+0.780693	+14.623946	+13.854263	+11.000000	+11.000000	1936	848	0
0.090	+0.000000	+0.498369	+0.115591	+0.771331	+14.623946	+13.854263	+11.000000	+11.000000	1885	895	0
0.100	+0.000000	+0.511838	+0.110337	+0.962535	+15.008786	+14.239105	+11.000000	+11.000000	1875	930	0
0.110	+0.000000	+0.511838	+0.107651	+0.630050	+15.008786	+14.239105	+11.000000	+11.000000	1853	931	0
0.120	+0.000000	+0.518573	+0.116758	+0.900498	+15.393627	+14.239105	+11.000000	+11.000000	1886	886	0
0.130	+0.000000	+0.525308	+0.114773	+0.652182	+15.393627	+14.623946	+11.000000	+11.000000	1895	912	0
0.140	+0.000000	+0.525308	+0.108118	+0.635334	+15.393627	+14.623946	+11.000000	+11.000000	1871	945	0
0.150	+0.000000	+0.525308	+0.089670	+0.451882	+15.778467	+14.239105	+11.000000	+11.000000	1808	1040	0
0.160	+0.000000	+0.538777	+0.088269	+0.422545	+15.778467	+15.008786	+11.000000	+11.000000	1779	1023	0
0.170	+0.000000	+0.532042	+0.074959	+0.545094	+15.778467	+14.623946	+11.000000	+11.000000	1699	1057	0
0.180	+0.000000	+0.538777	+0.068304	+0.447147	+15.778467	+15.008786	+11.000000	+11.000000	1658	1073	0
0.190	+0.000000	+0.538777	+0.052658	+0.409347	+15.778467	+15.008786	+11.000000	+11.000000	1581	1130	0
0.200	+0.000000	+0.545512	+0.054760	+0.271331	+16.163309	+15.008786	+11.000000	+11.000000	1607	1138	0
0.210	+0.000000	+0.545512	+0.037363	+0.246105	+15.778467	+15.393627	+11.000000	+11.000000	1535	1215	0
0.220	+0.000000	+0.552246	+0.034093	+0.252423	+16.163309	+15.393627	+11.000000	+11.000000	1570	1278	0
0.230	+0.000000	+0.552246	+0.025804	+0.228246	+16.163309	+15.393627	+11.000000	+11.000000	1557	1336	0
0.240	+0.000000	+0.565716	+0.014712	+0.227863	+16.548149	+15.778467	+11.000000	+11.000000	1584	1458	0
0.250	+0.000000	+0.558981	+0.004203	+0.165158	+16.163309	+15.778467	+11.000000	+11.000000	1630	1594	0
0.260	+0.000000	+0.579185	-0.001868	-0.071404	+16.932989	+16.163309	-11.000000	-11.000000	1728	1744	0
0.270	+0.000000	+0.457960	-0.008640	-0.022138	+13.469423	+12.699742	-1.869638	-1.890582	1828	1902	0
0.280	+0.000000	+0.336736	-0.013777	-0.316459	+10.005857	+9.236176	-11.000000	-11.000000	1898	2016	0
0.290	+0.000000	+0.262654	-0.010859	-0.133094	+7.696814	+7.311973	-11.000000	-11.000000	1939	2032	0
0.300	+0.000000	+0.074082	-0.013427	-0.294111	+2.309044	+1.924203	-11.000000	-11.000000	2000	2115	0
0.310	+0.000000	-0.060612	-0.008757	-0.415515	-1.154522	-2.309044	-11.000000	-11.000000	2031	2106	0
0.320	+0.000000	-0.141429	-0.007589	-0.425900	-3.463566	-4.618088	-11.000000	-11.000000	2035	2100	0
0.330	+0.000000	-0.228980	-0.014595	-0.535810	-6.542292	-6.542292	-11.000000	-11.000000	1977	2102	0
0.340	+0.000000	-0.282858	-0.010742	-0.541850	-7.696814	-8.466495	-11.000000	-11.000000	1988	2080	0
0.350	+0.000000	-0.330001	-0.016113	-0.452512	-9.236176	-9.621017	-11.000000	-11.000000	1904	2042	0
0.360	+0.000000	-0.370409	-0.011326	-0.716126	-10.390698	-10.775538	-11.000000	-11.000000	1874	1971	0
0.370	+0.000000	-0.397348	-0.009341	-0.694768	-11.160379	-11.545220	-11.000000	-11.000000	1842	1922	0
0.380	+0.000000	-0.417552	-0.004087	-0.824360	-11.930061	-11.930061	-11.000000	-11.000000	1805	1840	0
0.390	+0.000000	-0.457960	-0.003736	-0.935618	-13.084583	-13.084583	-11.000000	-11.000000	1754	1786	0
0.400	+0.000000	-0.457960	+0.005838	-0.599867	-13.084583	-13.084583	-11.000000	-11.000000	1762	1712	0
0.410	+0.000000	-0.471430	-0.000117	-0.429344	-13.469423	-13.469423	-11.000000	-11.000000	1699	1700	0
0.420	+0.000000	-0.484899	+0.007356	-0.249876	-13.854263	-13.854263	-11.000000	-11.000000	1666	1603	0
0.430	+0.000000	-0.498369	+0.003620	-0.315396	-14.239105	-14.239105	-11.000000	-11.000000	1618	1587	0
0.440	+0.000000	-0.505103	+0.017747	-0.388267	-14.623946	-14.239105	-11.000000	-11.000000	1645	1493	0
0.450	+0.000000	-0.511838	+0.020549	-0.320832	-14.623946	-14.623946	-11.000000	-11.000000	1621	1445	0
0.460	+0.000000	-0.518573	+0.028606	-0.173276	-15.008786	-14.623946	-11.000000	-11.000000	1641	1396	0
0.470	+0.000000	-0.532042	+0.034444	-0.239583	-15.393627	-15.008786	-11.000000	-11.000000	1664	1369	0
0.480	+0.000000	-0.538777	+0.045419	-0.271730	-15.393627	-15.393627	-11.000000	-11.000000	1718	1329	0
0.490	+0.000000	-0.532042	+0.060130	-0.294246	-15.393627	-15.008786	-11.000000	-11.000000	1746	1231	0
0.500	+0.000000	-0.538777	+0.074025	-0.290905	-15.393627	-15.393627	-11.000000	-11.000000	1776	1142	0
0.510	+0.000000	-0.545512	+0.075076	-0.106599	-15.778467	-15.393627	-11.000000	-11.000000	1715	1072	0
0.520	+0.000000	-0.552246	+0.088736	+0.021191	-15.778467	-15.778467	+4.604256	+4.604256	1727	967	0
0.530	+0.000000	-0.511838	+0.085350	+0.125667	-15.008786	-14.239105	+11.000000	+11.000000	1698	967	0
0.540	+0.000000	-0.383879	+0.096326	-0.045619	-11.545220	-10.390698	-9.433637	-9.402221	1712	887	0
0.550	+0.000000	-0.282858	+0.097143	+0.186475	-8.466495	-7.696814	+11.000000	+11.000000	1710	878	0
0.560	+0.000000	-0.222245	+0.100879	+0.633742	-6.542292	-6.157451	+11.000000	+11.000000	1729	865	0
0.570	+0.000000	-0.033674	+0.108352	+0.197008	-1.154522	-0.769681	+11.000000	+11.000000	1744	816	0
0.580	+0.000000	+0.080817	+0.102397	-0.146178	+2.309044	+2.309044	-11.000000	-11.000000	1712	835	0
0.590	+0.000000	+0.040408	+0.098894	-0.210668	+0.769681	+1.539363	-11.000000	-11.000000	1718	871	0
0.600	+0.000000	-0.114490	+0.091188	-0.064129	-3.848407	-2.693885	-6.519028	-6.487612	1668	887	0
0.610	+0.000000	-0.148164	+0.094107	+0.209284	-4.618088	-3.848407	+11.000000	+11.000000	1687	881	0
0.620	+0.000000	-0.047143	+0.098661	-0.205971	-1.154522	-1.539363	-11.000000	-11.000000	1707	862	0
0.630	+0.000000	+0.000000	+0.092823	+0.057030	-0.000000	+0.000000	+11.000000	+11.000000	1687	892	0
0.640	+0.000000	-0.047143	+0.101346	+0.406326	-1.154522	-1.539363	+11.000000	+11.000000	1726	858	0
0.650	+0.000000	+0.067347	+0.100295	+0.497394	+1.924203	+1.924203	+11.000000	+11.000000	1722	863	0
0.660	+0.000000	+0.161633	+0.094691	+0.400423	+5.002929	+4.233247	+11.000000	+11.000000	1680	869	0
0.670	+0.000000	+0.242450	+0.100062	+0.222237	+7.311973	+6.542292	+11.000000	+11.000000	1711	854	0
0.680	+0.000000	+0.289593	+0.089787	+0.208958	+8.466495	+8.081655	+11.000000	+11.000000	1680	911	0
0.690	+0.000000	+0.356940	+0.083132	+0.127387	+10.390698	+10.005857	+11.000000	+11.000000	1648	936	0
0.700	+0.000000	+0.377144	+0.084066	+0.137142	+11.160379	+10.390698	+11.000000	+11.000000	1680	960	0
0.710	+0.000000	+0.417552	+0.071456	+0.138558	+11.930061	+11.930061	+11.000000	+11.000000	1652	1040	0
0.720	+0.000000	+0.444491	+0.078578	+0.284794	+13.084583	+12.314901	+11.000000	+11.000000	1696	1023	0
0.730	+0.000000	+0.464695	+0.059547	+0.020451	+13.084583	+13.469423	-1.197114	-1.186642	1683	1173	0
0.740	+0.000000	+0.464695	+0.050556	-0.021720	+13.469423	+13.084583	-3.324109	-3.334581	1675	1242	0
0.750	+0.000000	+0.437756	+0.041799	-0.108669	+12.699742	+12.314901	-11.000000	-11.000000	1712	1354	0
0.760	+0.000000	+0.309797	+0.036312	-0.126738	+8.851336	+8.851336	-11.000000	-11.000000	1765	1454	0
0.770	+0.000000	+0.127960	+0.026971	+0.297310	+3.848407	+3.463566	+11.000000	+11.000000	1748	1517	0
0.780	+0.000000	+0.074082	+0.023118	+0.510677	+2.309044	+1.924203	+11.000000	+11.000000	1728	1530	0
0.790	+0.000000	+0.195307	+0.020666	+0.032172	+5.772610	+5.387769	-3.322491	-3.332963	1712	1535	0
0.800	+0.000000	+0.242450	+0.021951	+0.366063	+7.311973	+6.542292	+11.000000	+11.000000	1698	1510	0
0.810	+0.000000	+0.222245	+0.016696	+0.216722	+6.542292	+6.157451	+11.000000	+11.000000	1710	1567	0
0.820	+0.000000	+0.296327	+0.010625	+0.161585	+8.466495	+8.466495	+11.000000	+11.000000	1678	1587	0
0.830	+0.000000	+0.350205	+0.007473	+0.049371	+10.005857	+10.005857	+5.220463	+5.220463	1712	1648	0
0.840	+0.000000	+0.377144	+0.002102	+0.064419	+10.775538	+10.775538	+9.419707	+9.419707	1730	1712	0
0.850	+0.000000	+0.383879	-0.002802	-0.121846	+11.160379	+10.775538	-11.000000	-11.000000	1770	1794	0
0.860	+0.000000	+0.289593	-0.005137	-0.171060	+8.466495	+8.081655	-11.000000	-11.000000	1790	1834	0
0.870	+0.000000	+0.094286	-0.002218	-0.158229	+2.693885	+2.693885	-11.000000	-11.000000	1853	1872	0
0.880	+0.000000	-0.040408	-0.009924	-0.116120	-0.769681	-1.539363	-11.000000	-11.000000	1866	1951	0
0.890	+0.000000	-0.127960	-0.002919	-0.018232	-3.078725	-4.233247	-0.977548	-1.008964	1882	1907	0
0.900	+0.000000	-0.148164	-0.006772	-0.192031	-3.848407	-4.618088	-11.000000	-11.000000	1826	1884	0
0.910	+0.000000	-0.181837	-0.005838	-0.343602	-5.002929	-5.387769	-11.000000	-11.000000	1822	1872	0
0.920	+0.000000	-0.276123	-0.003853	-0.460301	-7.696814	-8.081655	-11.000000	-11.000000	1774	1807	0
0.930	+0.000000	-0.309797	-0.000817	-0.214725	-9.236176	-8.466495	-11.000000	-11.000000	1767	1774	0
0.940	+0.000000	-0.350205	-0.001635	-0.292297	-10.005857	-10.005857	-11.000000	-11.000000	1727	1741	0
0.950	+0.000000	-0.390613	+0.008056	-0.454482	-10.775538	-11.545220	-11.000000	-11.000000	1753	1684	0
0.960	+0.000000	-0.417552	+0.008874	-0.531312	-11.930061	-11.930061	-11.000000	-11.000000	1714	1638	0
0.970	+0.000000	-0.444491	+0.019148	-0.363114	-12.699742	-12.699742	-11.000000	-11.000000	1699	1535	0
0.980	+0.000000	-0.457960	+0.030124	-0.399043	-13.084583	-13.084583	-11.000000	-11.000000	1746	1488	0
0.990	+0.000000	-0.478165	+0.037596	-0.286156	-13.854263	-13.469423	-11.000000	-11.000000	1730	1408	0
1.000	+0.000000	-0.491634	+0.046470	-0.242429	-13.854263	-14.239105	-11.000000	-11.000000	1694	1296	0
1.010	+0.000000	-0.505103	+0.051023	-0.188666	-14.623946	-14.239105	-11.000000	-11.000000	1664	1227	0
1.020	+0.000000	-0.511838	+0.070172	-0.254310	-14.623946	-14.623946	-11.000000	-11.000000	1707	1106	0
1.030	+0.000000	-0.525308	+0.077294	-0.254602	-15.008786	-15.008786	-11.000000	-11.000000	1671	1009	0
1.040	+0.000000	-0.525308	+0.079162	-0.190451	-15.008786	-15.008786	-11.000000	-11.000000	1672	994	0
1.050	+0.000000	-0.532042	+0.087919	-0.157220	-15.008786	-15.393627	-11.000000	-11.000000	1665	912	0
1.060	+0.000000	-0.552246	+0.094808	-0.211595	-15.778467	-15.778467	-11.000000	-11.000000	1689	877	0
1.070	+0.000000	-0.545512	+0.106600	-0.211261	-15.393627	-15.778467	-11.000000	-11.000000	1729	816	0
1.080	+0.000000	-0.558981	+0.111271	-0.183688	-15.778467	-16.163309	-11.000000	-11.000000	1776	823	0
1.090	+0.000000	-0.545512	+0.118626	-0.202583	-15.778467	-15.393627	-11.000000	-11.000000	1786	770	0
1.100	+0.000000	-0.565716	+0.124931	-0.130329	-16.163309	-16.163309	-11.000000	-11.000000	1823	753	0
1.110	+0.000000	-0.558981	+0.140810	+0.059714	-15.778467	-16.163309	+10.942757	+10.932284	1840	634	0
1.120	+0.000000	-0.471430	+0.145481	+0.260210	-13.469423	-13.469423	+11.000000	+11.000000	1813	567	0
1.130	+0.000000	-0.249184	+0.154004	+0.159670	-6.927132	-7.311973	+11.000000	+11.000000	1814	495	0
1.140	+0.000000	-0.067347	+0.159842	-0.884124	-1.924203	-1.924203	-11.000000	-11.000000	1819	450	0
1.150	+0.000000	-0.053878	+0.160192	-0.265598	-1.539363	-1.539363	-11.000000	-11.000000	1821	449	0
1.160	+0.000000	-0.181837	+0.158674	-0.029749	-5.387769	-5.002929	-0.346100	-0.335628	1808	449	0
1.170	+0.000000	-0.215511	+0.156806	+0.855435	-6.157451	-6.157451	+11.000000	+11.000000	1824	481	0
1.180	+0.000000	-0.101021	+0.161827	+1.245070	-2.693885	-3.078725	+11.000000	+11.000000	1840	454	0
1.190	+0.000000	+0.074082	+0.167548	+0.809490	+1.924203	+2.309044	+11.000000	+11.000000	1835	400	0
1.200	+0.000000	+0.134694	+0.170584	-0.088300	+3.463566	+4.233247	-11.000000	-11.000000	1825	364	0
1.210	+0.000000	+0.074082	+0.167431	+0.086821	+1.539363	+2.693885	+11.000000	+11.000000	1802	368	0
1.220	+0.000000	+0.013469	+0.168949	+0.175919	-0.000000	+0.769681	+11.000000	+11.000000	1858	411	0
1.230	+0.000000	+0.161633	+0.171518	+0.456743	+4.233247	+5.002929	+11.000000	+11.000000	1853	384	0
1.240	+0.000000	+0.269388	+0.173386	+0.300461	+7.696814	+7.696814	+11.000000	+11.000000	1852	367	0
1.250	+0.000000	+0.289593	+0.178757	-0.279161	+8.081655	+8.466495	-11.000000	-11.000000	1851	320	0
1.260	+0.000000	+0.175103	+0.176889	-0.015287	+4.618088	+5.387769	+2.382652	+2.403596	1915	400	0
1.270	+0.000000	+0.067347	+0.173269	+0.540617	+1.154522	+2.693885	+11.000000	+11.000000	1890	406	0
1.280	+0.000000	+0.127960	+0.163695	+0.732067	+3.463566	+3.848407	+11.000000	+11.000000	1873	471	0
1.290	+0.000000	+0.249184	+0.171051	+0.681568	+6.927132	+7.311973	+11.000000	+11.000000	1904	439	0
1.300	+0.000000	+0.316531	+0.167782	+1.169534	+8.851336	+9.236176	+11.000000	+11.000000	1923	486	0
1.310	+0.000000	+0.316531	+0.167898	+1.036408	+8.851336	+9.236176	+11.000000	+11.000000	1936	498	0
1.320	+0.000000	+0.336736	+0.160893	+0.816196	+9.236176	+10.005857	+11.000000	+11.000000	1924	546	0
1.330	+0.000000	+0.377144	+0.157507	+0.810410	+10.775538	+10.775538	+11.000000	+11.000000	1947	598	0
1.340	+0.000000	+0.397348	+0.154004	+0.850573	+11.545220	+11.160379	+11.000000	+11.000000	1959	640	0
1.350	+0.000000	+0.424287	+0.149451	+0.816611	+12.314901	+11.930061	+11.000000	+11.000000	1997	717	0
1.360	+0.000000	+0.437756	+0.141394	+0.650254	+12.699742	+12.314901	+11.000000	+11.000000	2000	789	0
1.370	+0.000000	+0.444491	+0.139293	+0.804187	+13.084583	+12.314901	+11.000000	+11.000000	2011	818	0
1.380	+0.000000	+0.471430	+0.125048	+0.954911	+13.854263	+13.084583	+11.000000	+11.000000	1951	880	0
1.390	+0.000000	+0.484899	+0.112321	+0.794238	+14.239105	+13.469423	+11.000000	+11.000000	1922	960	0
1.400	+0.000000	+0.478165	+0.116758	+0.673709	+13.854263	+13.469423	+11.000000	+11.000000	1917	917	0
1.410	+0.000000	+0.491634	+0.121779	+0.747733	+14.623946	+13.469423	+11.000000	+11.000000	1953	910	0
1.420	+0.000000	+0.498369	+0.120962	+0.677789	+14.623946	+13.854263	+11.000000	+11.000000	1949	913	0
1.430	+0.000000	+0.498369	+0.108235	+0.525966	+14.623946	+13.854263	+11.000000	+11.000000	1887	960	0
1.440	+0.000000	+0.518573	+0.101113	+0.433667	+15.393627	+14.239105	+11.000000	+11.000000	1865	999	0
1.450	+0.000000	+0.518573	+0.099011	+0.530260	+15.393627	+14.239105	+11.000000	+11.000000	1842	994	0
1.460	+0.000000	+0.518573	+0.083832	+0.435009	+15.008786	+14.623946	+11.000000	+11.000000	1751	1033	0
1.470	+0.000000	+0.525308	+0.076126	+0.266321	+15.778467	+14.239105	+11.000000	+11.000000	1681	1029	0
1.480	+0.000000	+0.538777	+0.071690	+0.285982	+15.778467	+15.008786	+11.000000	+11.000000	1633	1019	0
1.490	+0.000000	+0.532042	+0.060948	+0.262618	+15.778467	+14.623946	+11.000000	+11.000000	1585	1063	0
1.500	+0.000000	+0.532042	+0.052658	+0.378296	+15.778467	+14.623946	+11.000000	+11.000000	1570	1119	0
1.510	+0.000000	+0.538777	+0.048338	+0.304613	+15.778467	+15.008786	+11.000000	+11.000000	1563	1149	0
1.520	+0.000000	+0.552246	+0.037946	+0.323683	+16.163309	+15.393627	+11.000000	+11.000000	1562	1237	0
1.530	+0.000000	+0.538777	+0.025337	+0.108485	+15.778467	+15.008786	+11.000000	+11.000000	1533	1316	0
1.540	+0.000000	+0.558981	+0.016346	+0.085576	+16.163309	+15.778467	+11.000000	+11.000000	1591	1451	0
1.550	+0.000000	+0.558981	+0.002802	+0.224076	+16.548149	+15.393627	+11.000000	+11.000000	1609	1585	0
1.560	+0.000000	+0.565716	-0.005254	+0.010867	+16.548149	+15.778467	-1.577965	-1.598909	1699	1744	0
1.570	+0.000000	+0.552246	-0.009924	+0.136465	+16.163309	+15.393627	+11.000000	+11.000000	1777	1862	0
1.580	+0.000000	+0.545512	-0.012843	+0.159841	+15.778467	+15.393627	+11.000000	+11.000000	1861	1971	0
1.590	+0.000000	+0.545512	-0.007122	+0.016631	+15.778467	+15.393627	+0.353015	+0.342543	1982	2043	0
1.600	+0.000000	+0.552246	-0.003736	-0.219948	+16.163309	+15.393627	-11.000000	-11.000000	2112	2144	0
1.610	+0.000000	+0.451226	-0.008173	-0.473163	+13.084583	+12.699742	-11.000000	-11.000000	2201	2271	0
1.620	+0.000000	+0.242450	-0.003620	-0.432582	+7.311973	+6.542292	-11.000000	-11.000000	2287	2318	0
1.630	+0.000000	+0.053878	-0.004437	-0.774181	+1.539363	+1.539363	-11.000000	-11.000000	2363	2401	0
1.640	+0.000000	-0.053878	+0.001168	-0.961079	-1.539363	-1.539363	-11.000000	-11.000000	2427	2417	0
1.650	+0.000000	-0.127960	-0.005371	-1.035427	-3.463566	-3.848407	-11.000000	-11.000000	2383	2429	0
1.660	+0.000000	-0.208776	-0.006655	-1.103375	-5.772610	-6.157451	-11.000000	-11.000000	2358	2415	0
1.670	+0.000000	-0.262654	-0.004670	-0.916256	-7.696814	-7.311973	-11.000000	-11.000000	2382	2422	0
1.680	+0.000000	-0.309797	-0.010625	-0.861948	-9.236176	-8.466495	-11.000000	-11.000000	2347	2438	0
1.690	+0.000000	-0.330001	-0.011909	-0.849533	-9.621017	-9.236176	-11.000000	-11.000000	2308	2410	0
1.700	+0.000000	-0.390613	-0.004904	-0.801989	-11.160379	-11.160379	-11.000000	-11.000000	2335	2377	0
1.710	+0.000000	-0.397348	-0.005604	-0.637536	-11.545220	-11.160379	-11.000000	-11.000000	2289	2337	0
1.720	+0.000000	-0.417552	-0.011909	-0.372851	-12.314901	-11.545220	-11.000000	-11.000000	2260	2362	0
1.730	+0.000000	-0.437756	-0.009457	-0.511196	-12.699742	-12.314901	-11.000000	-11.000000	2240	2321	0
1.740	+0.000000	-0.444491	-0.007823	-0.459153	-13.469423	-11.930061	-11.000000	-11.000000	2227	2294	0
1.750	+0.000000	-0.464695	-0.011676	-0.365559	-13.469423	-13.084583	-11.000000	-11.000000	2192	2292	0
1.760	+0.000000	-0.464695	-0.005488	-0.687180	-13.854263	-12.699742	-11.000000	-11.000000	2194	2241	0
1.770	+0.000000	-0.471430	-0.007122	-0.672725	-14.239105	-12.699742	-11.000000	-11.000000	2112	2173	0
1.780	+0.000000	-0.478165	-0.007589	-0.722657	-14.239105	-13.084583	-11.000000	-11.000000	2079	2144	0
1.790	+0.000000	-0.491634	-0.001635	-0.622021	-15.008786	-13.084583	-11.000000	-11.000000	2064	2078	0
1.800	+0.000000	-0.491634	-0.011676	-0.669376	-15.008786	-13.084583	-11.000000	-11.000000	1961	2061	0
1.810	+0.000000	-0.491634	-0.007356	-0.647637	-15.008786	-13.084583	-11.000000	-11.000000	1951	2014	0
1.820	+0.000000	-0.498369	-0.005488	-0.604519	-15.393627	-13.084583	-11.000000	-11.000000	1936	1983	0
1.830	+0.000000	-0.498369	-0.004203	-0.574827	-15.393627	-13.084583	-11.000000	-11.000000	1886	1922	0
1.840	+0.000000	-0.511838	-0.002802	-0.689406	-15.778467	-13.469423	-11.000000	-11.000000	1840	1864	0
1.850	+0.000000	-0.511838	-0.000000	-0.597771	-15.778467	-13.469423	-11.000000	-11.000000	1873	1873	0
1.860	+0.000000	-0.518573	+0.007589	-0.644919	-15.778467	-13.854263	-11.000000	-11.000000	1840	1775	0
1.870	+0.000000	-0.518573	+0.004437	-0.318109	-15.778467	-13.854263	-11.000000	-11.000000	1749	1711	0
1.880	+0.000000	-0.525308	+0.017280	-0.407296	-16.163309	-13.854263	-11.000000	-11.000000	1776	1628	0
1.890	+0.000000	-0.545512	+0.023935	-0.276388	-16.548149	-14.623946	-11.000000	-11.000000	1735	1530	0
1.900	+0.000000	-0.525308	+0.033977	-0.500914	-15.778467	-14.239105	-11.000000	-11.000000	1715	1424	0
1.910	+0.000000	-0.525308	+0.044368	-0.287925	-15.778467	-14.239105	-11.000000	-11.000000	1667	1287	0
1.920	+0.000000	-0.538777	+0.053942	-0.453386	-16.163309	-14.623946	-11.000000	-11.000000	1667	1205	0
1.930	+0.000000	-0.538777	+0.056277	-0.335849	-16.163309	-14.623946	-11.000000	-11.000000	1601	1119	0
1.940	+0.000000	-0.545512	+0.062933	-0.354668	-16.163309	-15.008786	-11.000000	-11.000000	1614	1075	0
1.950	+0.000000	-0.552246	+0.079629	-0.282770	-16.163309	-15.393627	-11.000000	-11.000000	1657	975	0
1.960	+0.000000	-0.552246	+0.079746	-0.255586	-16.163309	-15.393627	-11.000000	-11.000000	1616	933	0
1.970	+0.000000	-0.558981	+0.096909	-0.333618	-16.163309	-15.778467	-11.000000	-11.000000	1648	818	0
1.980	+0.000000	-0.565716	+0.096209	-0.292111	-16.548149	-15.778467	-11.000000	-11.000000	1634	810	0
1.990	+0.000000	-0.558981	+0.101696	-0.285799	-16.163309	-15.778467	-11.000000	-11.000000	1639	768	0
2.000	+0.000000	-0.558981	+0.113022	-0.173197	-16.163309	-15.778467	-11.000000	-11.000000	1679	711	0
2.010	+0.000000	-0.565716	+0.120378	+0.016994	-16.163309	-16.163309	+5.047375	+5.047375	1706	675	0
2.020	+0.000000	-0.518573	+0.123180	+0.157412	-15.008786	-14.623946	+11.000000	+11.000000	1718	663	0
2.030	+0.000000	-0.390613	+0.129718	+0.200344	-11.545220	-10.775538	+11.000000	+11.000000	1733	622	0
2.040	+0.000000	-0.175103	+0.132287	+0.605640	-5.387769	-4.618088	+11.000000	+11.000000	1726	593	0
2.050	+0.000000	+0.000000	+0.132404	+0.012385	-0.000000	+0.000000	-8.104010	-8.104010	1688	554	0
2.060	+0.000000	+0.013469	+0.135556	-0.795684	+0.384841	+0.384841	-11.000000	-11.000000	1711	550	0
2.070	+0.000000	-0.107755	+0.130536	-0.169674	-3.078725	-3.078725	-11.000000	-11.000000	1703	585	0
2.080	+0.000000	-0.215511	+0.138942	+0.557136	-6.157451	-6.157451	+11.000000	+11.000000	1723	533	0
2.090	+0.000000	-0.148164	+0.141978	+0.642774	-4.233247	-4.233247	+11.000000	+11.000000	1761	545	0
2.100	+0.000000	+0.033674	+0.147582	+0.768158	+1.154522	+0.769681	+11.000000	+11.000000	1749	485	0
2.110	+0.000000	+0.134694	+0.151085	+0.324855	+4.233247	+3.463566	+11.000000	+11.000000	1728	434	0
2.120	+0.000000	+0.175103	+0.154705	-0.145198	+5.002929	+5.002929	-11.000000	-11.000000	1757	432	0
2.130	+0.000000	+0.127960	+0.148400	+0.319643	+3.463566	+3.848407	+11.000000	+11.000000	1737	466	0
2.140	+0.000000	+0.060612	+0.146065	+0.745311	+1.539363	+1.924203	+11.000000	+11.000000	1744	493	0
2.150	+0.000000	+0.195307	+0.147349	+0.590305	+5.387769	+5.772610	+11.000000	+11.000000	1751	489	0
2.160	+0.000000	+0.289593	+0.149801	+0.514774	+8.466495	+8.081655	+11.000000	+11.000000	1749	466	0
2.170	+0.000000	+0.309797	+0.156690	-0.443385	+8.851336	+8.851336	-11.000000	-11.000000	1768	426	0
2.180	+0.000000	+0.208776	+0.148166	+0.276948	+5.772610	+6.157451	+11.000000	+11.000000	1776	507	0
2.190	+0.000000	+0.134694	+0.147232	+0.761411	+3.848407	+3.848407	+11.000000	+11.000000	1805	544	0
2.200	+0.000000	+0.262654	+0.147232	+0.607945	+7.696814	+7.311973	+11.000000	+11.000000	1823	562	0
2.210	+0.000000	+0.330001	+0.150151	+0.764928	+9.236176	+9.621017	+11.000000	+11.000000	1826	540	0
2.220	+0.000000	+0.356940	+0.155639	+0.520145	+10.390698	+10.005857	+11.000000	+11.000000	1824	491	0
2.230	+0.000000	+0.356940	+0.147115	+0.540153	+10.005857	+10.390698	+11.000000	+11.000000	1823	563	0
2.240	+0.000000	+0.383879	+0.132871	+0.702459	+11.160379	+10.775538	+11.000000	+11.000000	1826	688	0
2.250	+0.000000	+0.424287	+0.136724	+0.835500	+12.314901	+11.930061	+11.000000	+11.000000	1859	688	0
2.260	+0.000000	+0.444491	+0.134856	+0.908387	+13.469423	+11.930061	+11.000000	+11.000000	1880	725	0
2.270	+0.000000	+0.451226	+0.130302	+0.816850	+13.469423	+12.314901	+11.000000	+11.000000	1910	794	0
2.280	+0.000000	+0.471430	+0.125398	+0.644804	+13.854263	+13.084583	+11.000000	+11.000000	1900	826	0
2.290	+0.000000	+0.478165	+0.119677	+0.575863	+14.239105	+13.084583	+11.000000	+11.000000	1904	879	0
2.300	+0.000000	+0.505103	+0.112438	+0.465002	+15.008786	+13.854263	+11.000000	+11.000000	1874	911	0
2.310	+0.000000	+0.491634	+0.109169	+0.466862	+14.623946	+13.469423	+11.000000	+11.000000	1854	919	0
2.320	+0.000000	+0.498369	+0.107301	+0.362168	+14.623946	+13.854263	+11.000000	+11.000000	1838	919	0
